game_id,name,no_of_reviews,percent,rates,pegi_rate,price
418840,Tick Tock Isle Demo,4,0,1,-,0
419050,DROD RPG OST,0,0,0,-,92
419060,Chaos Reborn Demo,26,61,3,-,0
419290,Epic Battle Fantasy 4 Soundtrack,0,0,0,-,0
419473,GGXrd System Voice  SOL BADGUY,1,0,1,-,30
419474,GGXrd System Voice  KY KISKE,1,0,1,-,30
419476,GGXrd System Voice  MILLIA RAGE,1,0,1,-,30
419477,GGXrd System Voice  CHIPP ZANUFF,1,0,1,-,30
419478,GGXrd System Voice  VENOM,1,0,1,-,30
419479,GGXrd System Voice  POTEMKIN,1,0,1,-,30
419600,Lets Play,6,0,1,-,120
419610,Sculpting and Rendering a Biomech Creature Bust,3,0,1,-,278
419620,Creature Concepting In 3D,1,0,1,-,398
419930,GGXrd System Voice  AXL LOW,1,0,1,-,30
419931,GGXrd System Voice  FAUST,1,0,1,-,30
419932,GGXrd System Voice  INO,2,0,1,-,30
419933,GGXrd System Voice  SLAYER,1,0,1,-,30
419934,GGXrd System Voice  ZATO1,2,0,1,-,30
419935,GGXrd System Voice  BEDMAN,1,0,1,-,30
419936,GGXrd System Voice  RAMLETHAL VALENTINE,1,0,1,-,30
419937,GGXrd System Voice  SIN KISKE,2,0,1,-,30
419938,GGXrd System Voice  ELPHELT VALENTINE,1,0,1,-,30
419939,GGXrd System Voice  LEO WHITEFANG,1,0,1,-,30
647950,Kitty Nigiri,0,0,0,-,278
648020,The Fleet,11,54,3,-,82
648150,Arcsaber VR,0,0,0,-,102
648220,SCP Area 8,0,0,0,R,0
648270,I See Your Pain,0,0,0,-,0
648450,Fantasy Grounds  Disposable Heroes Superhero Statix Set One Token Pack,0,0,0,-,82
648500,Fantasy Grounds  Serpents of Chaos 5E,0,0,0,-,102
648510,Choice of the Star Captain,8,0,1,-,82
648530,Reckless Space Pirates,3,0,1,-,82
648810,Vehicle VR,6,0,1,-,61
559910,Terroir,261,73,2,-,152
648940,Fantasy Grounds  Wellstone City Chronicles TwoBit Thugs Savage Worlds,0,0,0,-,66
648960,Mythic Victory Arena  Unlock All Characters,0,0,0,-,30
